template_code,period_type,stress_level_hint,dominant_factor_hint,original_insight_text,revised_insight_text,revision_method,mapping_note
DAILY_TINGGI_ACADEMIC_PRESSURE_FINANCIAL_WORRY,daily,tinggi,Academic Pressure + Financial Worry,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + Financial Worry.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik dan kekhawatiran finansial. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas dan pengelolaan sumber tekanan finansial agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_ACADEMIC_PRESSURE_HEALTH_ISSUE,daily,tinggi,Academic Pressure + Health Issue,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + Health Issue.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik dan kondisi kesehatan. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas dan pemantauan kondisi kesehatan dan waktu pemulihan agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_ACADEMIC_PRESSURE_HIGH_CAFFEINE_INTAKE,daily,tinggi,Academic Pressure + High Caffeine Intake,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik dan konsumsi kafein tinggi. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas dan pengendalian konsumsi kafein dan kualitas istirahat agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_ACADEMIC_PRESSURE_HIGH_FATIGUE,daily,tinggi,Academic Pressure + High Fatigue,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + High Fatigue.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik dan tingkat kelelahan tinggi. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas dan peningkatan waktu istirahat dan pemulihan energi agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_ACADEMIC_PRESSURE_HIGH_SCREEN_TIME,daily,tinggi,Academic Pressure + High Screen Time,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + High Screen Time.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik dan durasi screen time tinggi. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas dan pengurangan durasi screen time dan jeda aktivitas digital agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_ACADEMIC_PRESSURE_LOW_MOOD,daily,tinggi,Academic Pressure + Low Mood,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + Low Mood.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik dan penurunan mood. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas dan pemulihan emosi dan aktivitas penyeimbang mood agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_ACADEMIC_PRESSURE_LOW_PHYSICAL_ACTIVITY,daily,tinggi,Academic Pressure + Low Physical Activity,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + Low Physical Activity.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik dan aktivitas fisik rendah. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas dan peningkatan aktivitas fisik ringan secara bertahap agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_ACADEMIC_PRESSURE_SLEEP_DEFICIT,daily,tinggi,Academic Pressure + Sleep Deficit,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + Sleep Deficit.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik dan defisit tidur. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas dan perbaikan durasi dan kualitas tidur agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_ACADEMIC_PRESSURE,daily,tinggi,Academic Pressure,Stress score hari ini tinggi karena faktor dominan: Academic Pressure.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tekanan akademik. Kondisi ini menunjukkan perlunya pengelolaan beban belajar dan prioritas tugas agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_HIGH_FATIGUE_HIGH_SCREEN_TIME,daily,tinggi,High Fatigue + High Screen Time,Stress score hari ini tinggi karena faktor dominan: High Fatigue + High Screen Time.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tingkat kelelahan tinggi dan durasi screen time tinggi. Kondisi ini menunjukkan perlunya peningkatan waktu istirahat dan pemulihan energi dan pengurangan durasi screen time dan jeda aktivitas digital agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_HIGH_FATIGUE_LOW_MOOD,daily,tinggi,High Fatigue + Low Mood,Stress score hari ini tinggi karena faktor dominan: High Fatigue + Low Mood.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tingkat kelelahan tinggi dan penurunan mood. Kondisi ini menunjukkan perlunya peningkatan waktu istirahat dan pemulihan energi dan pemulihan emosi dan aktivitas penyeimbang mood agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_HIGH_FATIGUE_SLEEP_DEFICIT,daily,tinggi,High Fatigue + Sleep Deficit,Stress score hari ini tinggi karena faktor dominan: High Fatigue + Sleep Deficit.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah tingkat kelelahan tinggi dan defisit tidur. Kondisi ini menunjukkan perlunya peningkatan waktu istirahat dan pemulihan energi dan perbaikan durasi dan kualitas tidur agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_HIGH_SCREEN_TIME_FINANCIAL_WORRY,daily,tinggi,High Screen Time + Financial Worry,Stress score hari ini tinggi karena faktor dominan: High Screen Time + Financial Worry.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah durasi screen time tinggi dan kekhawatiran finansial. Kondisi ini menunjukkan perlunya pengurangan durasi screen time dan jeda aktivitas digital dan pengelolaan sumber tekanan finansial agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_LOW_MOOD_FINANCIAL_WORRY,daily,tinggi,Low Mood + Financial Worry,Stress score hari ini tinggi karena faktor dominan: Low Mood + Financial Worry.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah penurunan mood dan kekhawatiran finansial. Kondisi ini menunjukkan perlunya pemulihan emosi dan aktivitas penyeimbang mood dan pengelolaan sumber tekanan finansial agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_LOW_MOOD_HIGH_FATIGUE,daily,tinggi,Low Mood + High Fatigue,Stress score hari ini tinggi karena faktor dominan: Low Mood + High Fatigue.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah penurunan mood dan tingkat kelelahan tinggi. Kondisi ini menunjukkan perlunya pemulihan emosi dan aktivitas penyeimbang mood dan peningkatan waktu istirahat dan pemulihan energi agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_LOW_MOOD_HIGH_SCREEN_TIME,daily,tinggi,Low Mood + High Screen Time,Stress score hari ini tinggi karena faktor dominan: Low Mood + High Screen Time.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah penurunan mood dan durasi screen time tinggi. Kondisi ini menunjukkan perlunya pemulihan emosi dan aktivitas penyeimbang mood dan pengurangan durasi screen time dan jeda aktivitas digital agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_LOW_MOOD_SLEEP_DEFICIT,daily,tinggi,Low Mood + Sleep Deficit,Stress score hari ini tinggi karena faktor dominan: Low Mood + Sleep Deficit.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah penurunan mood dan defisit tidur. Kondisi ini menunjukkan perlunya pemulihan emosi dan aktivitas penyeimbang mood dan perbaikan durasi dan kualitas tidur agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_LOW_MOOD,daily,tinggi,Low Mood,Stress score hari ini tinggi karena faktor dominan: Low Mood.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah penurunan mood. Kondisi ini menunjukkan perlunya pemulihan emosi dan aktivitas penyeimbang mood agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_SLEEP_DEFICIT_FINANCIAL_WORRY,daily,tinggi,Sleep Deficit + Financial Worry,Stress score hari ini tinggi karena faktor dominan: Sleep Deficit + Financial Worry.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah defisit tidur dan kekhawatiran finansial. Kondisi ini menunjukkan perlunya perbaikan durasi dan kualitas tidur dan pengelolaan sumber tekanan finansial agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_SLEEP_DEFICIT_HIGH_CAFFEINE_INTAKE,daily,tinggi,Sleep Deficit + High Caffeine Intake,Stress score hari ini tinggi karena faktor dominan: Sleep Deficit + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah defisit tidur dan konsumsi kafein tinggi. Kondisi ini menunjukkan perlunya perbaikan durasi dan kualitas tidur dan pengendalian konsumsi kafein dan kualitas istirahat agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_SLEEP_DEFICIT_HIGH_SCREEN_TIME,daily,tinggi,Sleep Deficit + High Screen Time,Stress score hari ini tinggi karena faktor dominan: Sleep Deficit + High Screen Time.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah defisit tidur dan durasi screen time tinggi. Kondisi ini menunjukkan perlunya perbaikan durasi dan kualitas tidur dan pengurangan durasi screen time dan jeda aktivitas digital agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_SLEEP_DEFICIT_LOW_MOOD,daily,tinggi,Sleep Deficit + Low Mood,Stress score hari ini tinggi karena faktor dominan: Sleep Deficit + Low Mood.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah defisit tidur dan penurunan mood. Kondisi ini menunjukkan perlunya perbaikan durasi dan kualitas tidur dan pemulihan emosi dan aktivitas penyeimbang mood agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_TINGGI_SLEEP_DEFICIT,daily,tinggi,Sleep Deficit,Stress score hari ini tinggi karena faktor dominan: Sleep Deficit.,Tingkat stres hari ini berada pada kategori tinggi. Faktor dominan yang terlihat adalah defisit tidur. Kondisi ini menunjukkan perlunya perbaikan durasi dan kualitas tidur agar risiko stres tidak semakin meningkat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
WEEKLY_WEEKLY_INCREASING_NO_DOMINANT_FACTOR,weekly,weekly_increasing,,Tren stress mingguan meningkat dibanding awal minggu. Faktor dominan perlu dievaluasi.,Tren stres mingguan menunjukkan peningkatan dibanding awal minggu. Faktor dominan perlu dievaluasi untuk memahami sumber tekanan utama dan menentukan prioritas perbaikan aktivitas harian.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
WEEKLY_WEEKLY_DECREASING_NO_DOMINANT_FACTOR,weekly,weekly_decreasing,,Tren stress mingguan menurun. Pola aktivitas relatif membaik dibanding awal minggu.,"Tren stres mingguan menunjukkan penurunan. Pola aktivitas terlihat relatif membaik dibanding awal minggu, sehingga pola yang mendukung pemulihan perlu dipertahankan secara konsisten.",deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
